Quiz_Total,Assignment_Total,Midterm,Final_Exam
3.0,9.2,8.1,19.1
4.9,13.0,12.7,29.5
5.4,12.4,12.0,28.0
3.0,9.6,9.1,22.5
2.5,4.7,8.0,13.1
7.8,13.3,15.9,38.2
5.0,12.3,10.6,23.7
5.5,12.7,13.8,35.3
2.9,7.8,8.3,22.4
1.4,4.9,5.2,12.2
8.8,17.1,15.7,39.6
7.5,16.7,13.1,37.2
7.4,14.6,16.7,37.5
6.7,15.6,16.8,36.4
3.5,8.5,9.2,24.6
5.6,13.1,12.0,27.6
3.4,8.8,11.1,27.1
2.7,8.4,6.7,19.9
5.7,13.8,14.2,31.4
4.8,13.9,13.3,28.5
5.1,12.1,10.2,27.7
8.9,17.3,16.2,40.7
9.2,16.6,16.6,43.5
4.7,11.9,13.7,34.0
6.1,12.5,10.0,31.6
2.7,5.8,6.3,12.2
2.5,8.6,8.8,16.2
8.5,17.5,20.0,47.8
2.0,5.1,4.7,11.5
7.3,15.4,15.8,37.6
8.0,15.9,17.4,39.9
8.7,17.0,17.3,45.2
7.6,15.7,13.8,39.5
8.5,18.5,19.7,45.1
3.4,8.3,10.9,13.3
6.3,12.5,12.9,41.3
3.6,9.3,6.6,17.9
3.6,8.1,11.6,22.9
8.8,17.1,17.8,42.4
7.8,18.1,15.6,41.9
3.1,8.6,8.3,21.3
2.0,5.7,3.0,9.5
5.2,13.4,11.8,29.5
5.7,12.0,12.2,28.8
8.5,17.8,18.7,46.8
7.6,15.0,17.1,40.7
8.8,17.9,17.1,36.1
5.7,14.2,12.6,32.9
8.7,18.9,15.8,41.5
3.7,8.7,11.6,27.3
7.9,16.2,17.3,41.3
2.5,9.4,8.6,22.8
6.0,13.1,12.3,33.1
1.7,4.4,6.8,11.9
5.4,13.0,12.4,33.9
8.2,15.1,14.7,37.9
4.9,11.8,11.9,26.3
8.5,18.2,16.8,42.7
3.6,8.3,7.2,21.3
2.0,4.8,5.6,13.2
6.6,15.7,13.5,35.6
7.1,14.5,17.6,38.0
1.7,5.6,5.5,14.7
9.1,16.2,16.3,40.5
6.1,13.2,12.8,33.0
7.2,16.5,17.8,45.0
8.1,14.9,14.6,40.6
5.3,12.9,12.4,29.8
7.8,14.9,14.2,36.7
7.8,15.5,15.3,38.6
9.2,17.1,19.0,47.5
8.2,18.7,16.7,40.7
2.7,8.0,6.7,20.2
4.0,8.9,6.3,23.4
8.4,18.1,16.1,42.2
7.6,14.9,13.5,33.7
5.0,12.5,13.0,33.3
2.6,6.1,6.1,14.2
4.3,8.9,8.1,24.5
8.8,17.7,16.5,42.3
5.7,12.8,11.6,30.1
1.9,5.0,7.7,10.4
7.4,17.0,14.8,37.6
5.1,11.9,11.7,26.9
5.2,12.7,13.5,30.8
5.0,12.6,14.3,34.6
2.4,6.1,6.2,15.0
1.7,4.6,4.7,10.4
3.6,8.6,10.6,20.9
3.7,8.2,9.3,18.6
8.2,18.2,19.1,46.3
8.5,17.5,16.2,42.0
9.2,18.2,16.2,43.9
2.0,4.9,6.2,14.1
3.4,7.2,8.3,24.1
1.4,5.1,7.4,8.6
8.8,16.6,19.9,45.4
9.2,16.9,16.4,43.3
5.3,12.6,10.7,28.0
1.1,4.2,6.6,11.4
2.1,4.0,6.3,12.6
1.3,5.6,6.1,12.5
6.7,16.7,13.0,35.6
3.6,7.3,11.9,27.4
8.3,17.2,18.7,45.2
5.8,11.9,14.9,43.0
3.4,7.2,8.3,15.7
5.7,12.2,13.2,30.5
2.7,7.4,8.6,15.9
8.0,18.3,15.4,39.4
5.6,12.6,10.8,29.8
8.5,17.0,16.0,40.9
7.0,15.0,17.5,42.7
9.0,17.1,19.7,47.3
8.6,19.0,19.7,47.9
8.7,18.6,17.9,43.4
7.9,17.3,19.1,45.1
3.4,9.3,11.3,26.2
1.8,4.8,3.5,8.1
8.4,15.5,14.6,40.0
5.8,11.5,13.9,27.2
2.0,5.0,7.9,13.6
8.7,17.9,18.9,45.5
5.7,12.7,11.0,27.9
8.5,17.3,15.3,41.6
3.5,8.6,8.0,18.6
4.0,8.2,6.5,20.1
3.9,8.5,7.5,22.7
2.5,8.5,11.4,24.4
3.3,9.1,8.3,22.7
2.9,8.1,8.9,21.3
1.7,4.5,5.6,1.7
8.6,17.9,19.4,44.4
9.3,16.7,18.2,43.1
1.9,5.1,6.4,15.6
5.6,12.9,14.5,29.3
7.0,16.2,16.9,42.4
6.9,16.1,17.1,41.8
3.9,8.5,7.5,17.9
5.6,12.4,13.5,32.2
3.2,8.4,8.4,18.2
1.7,4.2,7.3,14.8
5.6,13.4,14.9,36.0
5.3,12.4,13.0,31.8
2.5,9.4,11.6,26.7
6.7,14.6,16.9,37.6
8.9,18.1,19.5,46.6
8.2,18.5,19.8,48.2
1.9,5.4,6.5,14.4
8.5,17.3,19.2,50
8.9,16.7,18.0,50
4.9,11.9,12.2,29.3
7.7,13.4,16.9,39.4
2.0,5.8,4.7,9.2
5.3,13.1,14.0,36.2
7.4,16.2,15.4,37.7
5.4,13.0,14.0,33.0
6.5,14.5,14.3,33.0
2.2,4.8,6.6,13.0
2.0,4.8,5.8,15.0
9.2,17.0,19.3,48.2
2.3,4.9,5.7,12.2
5.7,12.0,12.1,26.6
7.3,14.8,18.0,43.1
7.4,13.9,15.5,36.2
8.0,14.1,17.3,39.0
8.4,17.1,18.0,43.8
4.2,9.5,10.8,23.2
8.1,15.7,13.0,35.8
7.2,15.7,18.0,41.0
7.8,16.8,14.9,41.4
8.8,18.6,17.4,45.5
2.8,7.9,6.3,17.8
7.6,15.5,13.5,34.4
1.8,5.1,7.0,12.8
3.4,8.5,7.2,17.8
5.8,13.7,14.2,31.2
1.5,6.0,4.7,9.4
2.9,9.1,6.6,25.0
4.8,12.8,10.3,27.2
5.0,12.0,11.6,28.8
6.1,11.9,10.2,29.1
1.3,5.8,6.4,15.5
3.8,9.6,9.2,21.2
5.4,13.1,10.1,28.8
7.2,15.0,17.7,40.3
7.6,14.5,14.7,34.8
6.8,14.5,13.7,32.8
8.3,16.8,15.5,40.3
8.1,15.6,14.4,35.2
8.0,15.7,15.3,40.5
7.3,14.7,17.0,36.9
7.0,15.5,17.5,41.8
7.1,15.6,16.9,41.5
2.9,7.4,10.3,20.6
2.2,4.3,4.9,11.9
6.0,14.2,13.1,32.7
8.5,17.8,15.4,47.5
5.1,12.7,12.2,26.1
6.7,15.7,16.7,41.0
4.2,8.1,11.9,30.3
8.4,16.8,18.0,45.0
8.6,17.7,18.7,44.3
8.5,17.9,15.5,40.8
7.2,16.1,16.7,43.2
5.7,13.7,14.9,34.6
5.1,12.9,13.7,33.0
8.4,16.8,15.2,41.0
6.0,13.3,12.2,33.2
8.4,18.0,18.3,46.4
7.2,16.0,17.9,39.2
8.3,17.7,17.6,42.8
8.4,17.1,19.0,45.8
2.3,5.7,4.7,9.3
5.7,13.6,12.6,30.7
1.9,4.8,7.7,15.6
3.8,8.5,9.7,20.7
1.7,4.8,7.1,14.7
5.8,13.2,14.6,34.6
6.2,12.3,11.6,32.4
5.1,11.5,13.6,32.5
5.2,12.3,13.3,30.2
1.5,5.0,4.4,9.6
9.3,17.9,19.5,46.1
2.0,5.0,6.0,12.7
1.8,6.0,6.0,12.4
2.0,5.5,5.5,10.9
5.8,12.4,13.0,27.7
3.3,8.9,10.7,21.5
8.3,17.8,17.6,45.1
2.8,8.3,9.9,14.6
8.9,16.5,19.8,45.4
9.3,18.4,15.2,40.4
6.5,12.9,12.6,35.9
7.9,16.1,16.2,40.0
5.5,13.2,11.0,25.6
1.6,5.4,3.3,7.5
7.6,15.7,17.2,41.5
8.0,18.1,15.8,40.6
8.0,14.3,15.3,40.3
8.8,17.5,15.6,42.8
7.4,16.0,17.6,38.2
7.1,16.5,13.2,36.7
7.2,15.1,15.7,37.2
6.0,11.8,11.3,28.6
7.3,14.8,16.4,40.5
7.8,15.1,15.0,39.5
8.2,17.9,15.0,41.2
5.9,13.0,14.7,37.1
6.4,11.3,13.5,32.6
4.0,8.3,9.0,24.3
6.0,13.6,10.7,31.7
5.1,13.1,10.5,29.2
5.5,12.8,13.7,28.0
3.1,8.3,7.7,18.6
6.1,14.1,11.5,29.0
8.5,18.4,18.7,43.5
7.3,15.7,14.2,34.0
7.1,16.0,14.1,34.2
1.7,6.1,4.6,13.7
3.0,8.1,8.4,15.7
5.5,12.4,13.0,32.9
3.6,8.3,11.9,25.5
7.6,14.4,14.2,33.4
8.5,17.3,19.2,42.9
5.9,11.2,11.9,33.3
6.5,13.5,14.0,35.7
3.0,8.5,10.3,20.2
7.5,16.5,14.1,39.2
8.2,17.4,16.9,41.9
2.0,5.7,4.1,10.0
5.7,11.8,11.0,31.9
5.6,14.1,12.1,29.9
3.3,10.1,10.5,19.2
5.3,13.6,10.3,26.5
1.8,4.3,5.4,10.7
5.5,12.2,10.8,31.2
1.9,4.4,6.7,21.3
8.4,18.0,19.2,44.0
2.2,4.9,3.6,10.1
2.0,4.9,7.5,12.8
7.0,14.7,17.3,43.1
5.5,13.2,10.2,25.9
1.8,5.6,7.7,16.4
8.9,17.4,16.4,41.0
5.3,13.2,10.9,28.1
8.8,17.6,19.2,47.9
6.2,12.8,10.3,26.0
6.3,11.5,11.6,26.7
5.1,11.5,10.5,26.4
6.0,12.0,12.2,21.9
8.5,17.3,16.8,41.3
6.6,16.1,15.5,38.4
8.9,17.4,16.5,43.7
8.8,16.4,16.6,40.8
8.4,18.1,15.2,39.0
3.4,8.5,7.8,16.9
9.3,17.5,16.8,42.4
4.3,13.6,10.8,21.4
7.6,16.4,17.6,42.8
9.4,16.6,17.1,44.1
8.2,18.0,16.6,42.4
7.1,16.2,13.7,38.6
4.6,11.9,10.1,21.9
8.5,17.7,15.9,41.9
7.6,15.7,14.9,37.1
8.4,18.3,15.6,40.1
5.9,12.3,13.1,34.7
8.3,17.5,15.6,39.7
8.3,18.2,18.5,45.1
6.1,13.0,11.4,32.2
3.8,8.3,7.0,15.0
5.3,12.0,14.1,32.7
8.4,17.5,18.1,42.9
4.2,9.5,10.3,25.5
