Quiz_Total,Assignment_Total,Midterm,Final_Exam
8.4,13.5,12.2,31.3
7.0,12.4,11.6,30.2
7.5,13.8,14.4,36.8
8.3,17.1,19.8,47.8
6.7,9.5,13.0,28.2
6.5,12.6,10.7,30.3
9.6,17.7,18.3,38.3
8.2,14.1,13.4,34.4
6.6,12.6,12.9,29.3
6.9,16.0,14.1,37.5
6.9,9.2,11.5,28.9
6.0,10.5,13.2,27.4
8.5,12.6,12.2,30.0
3.1,5.9,5.6,16.7
5.3,9.1,7.1,18.5
5.8,11.0,12.6,28.4
4.5,9.6,8.1,21.5
6.6,10.9,10.5,32.5
4.9,11.2,9.7,23.7
4.7,6.9,9.4,22.5
9.1,17.5,18.8,50.0
5.7,12.7,11.8,26.6
6.6,15.2,12.7,27.8
6.1,6.8,10.1,25.4
7.1,6.8,9.1,24.0
7.0,13.6,12.9,32.0
4.8,12.2,9.8,22.2
7.2,16.0,14.7,35.4
6.1,11.5,10.6,31.3
5.2,11.4,12.2,32.4
5.4,12.4,8.2,26.5
7.9,17.1,17.8,41.9
6.8,13.7,13.5,30.2
5.4,10.6,8.6,16.0
7.3,17.1,15.5,36.7
5.9,13.5,9.9,26.4
5.8,14.2,13.2,34.8
2.4,6.4,7.3,17.5
4.7,9.0,7.9,21.1
7.6,10.9,13.3,31.9
9.0,14.2,15.9,39.4
6.4,12.9,13.7,35.9
7.2,11.9,11.9,26.7
6.0,12.3,12.4,31.4
4.1,7.3,9.4,24.7
6.1,12.5,8.4,23.1
6.3,11.6,13.0,32.5
6.8,16.2,15.8,47.0
8.2,13.5,14.5,35.4
5.0,7.9,9.1,21.9
6.5,15.2,12.3,31.1
6.2,10.5,11.0,29.1
5.9,10.0,10.6,28.1
7.6,14.4,13.9,36.5
7.6,14.1,18.2,40.2
7.4,14.6,14.8,38.8
5.2,9.8,9.8,29.0
7.0,13.4,12.3,31.6
7.4,14.4,12.6,35.7
7.7,16.2,15.5,38.7
6.4,12.8,11.9,31.2
3.9,12.2,12.0,31.3
5.8,10.3,9.6,21.7
3.3,9.3,8.8,23.6
7.4,15.8,13.6,33.9
7.6,16.2,17.5,41.6
5.4,9.1,14.9,35.0
8.9,15.8,16.0,40.8
6.7,16.2,14.4,32.6
